Numéro de l'équipement sportif;Numéro de l'installation sportive;Date de l'enquête;Nom de l'installation sportive;SIRET Installation;Adresse;Code Postal;Commune nom;Commune INSEE;Type de particularité de l'installation;Unité Administrative Immatriculée (UAI);Accessibilité de l'installation en fonction du type handicap;Accessibilité de l'installation en transport en commun des différents mode;Observation Installation;Date de changement d'état de la fiche d'enquête;Date de création de la fiche d'enquête;Installation hors-service;EPCI INSEE;EPCI Nom;Département Code;Département Nom;Région Code;Région Nom;Bassin de vie Code;Bassin de vie Nom;Arrondissement Code;Arrondissement Nom;Densite Niveau;Densite Catégorie;Département Code Complet;Réctorat Nom;ZRR Simplifié;Nom de l'équipement sportif;Type d'équipement sportif;Coordonnées;Nom du propriétaire;Type de propriétaire;Type de propriétaire secondaire;Type de gestionnaire;Type du co-gestionnaire;Gestion en DSP;Arrêté d'ouverture au public;Type d'ERP de l'établissement;Catégorie ERP de l'établissement;Date de l'homologation préfectorale;Période de l'homologation préfectorale;Année de mise en service;Période de mise en service;Date des derniers gros travaux;Période des derniers gros travaux;Motifs des derniers gros travaux;Types de chauffage - source d'énergie;Nature de l'équipement sportif;Nature du sol;Longueur de l'aire d'évolution;Largeur de l'aire d'évolution;Hauteur de l'aire d'évolution;Surface de l'aire d'évolution;Eclairage de l'aire d'évolution;Nombre de couloirs/pistes/postes/jeux/pas;Nombre de places assises en tribune;Nombre de vestiaires sportifs;Nombre de vestiaires arbitres/enseignants;Présence de douches;Présence de sanitaires;Types de locaux complémentaires;Types d'aménagements de confort;Accessibilité aux personnes à mobilité réduite;Accessibilité aux personnes en situation de handicap sensoriel;Equipement inscrit au PDESI / PDIPR;Longueur du bassin;Largeur du bassin;Surface du bassin;Profondeur minimale du bassin;Profondeur maximale du bassin;Longueur de la piste;SAE: hauteur maximale de la structure;SAE: surface totale de la structure;SAE: nombre de couloirs de la structure;Type de pas de tir;Adresse internet de l'équipement;Type d'utilisation;Equipement d'accès libre;Ouverture exclusivement saisonnière;Observation Equipement;Famille d'équipement sportif;Code du type d'équipement sportif;RNB ID;Accessibilité de l'installation en faveur des personnes en situation de handicap;Accessibilité de l'installation en transport en commun;Installation particulière;Locaux complémentaires;Accessibilité aux personnes à mobilité réduite aux vestiaires;Accessibilité aux personnes à mobilité réduite à l'accueil;Accessibilité aux personnes à mobilité réduite à l'aire de jeu;Accessibilité aux personnes à mobilité réduite aux cheminements;Accessibilité aux personnes à mobilité réduite aux douches;Accessibilité aux personnes à mobilité réduite aux sanitaires;Accessibilité aux personnes à mobilité réduite aux tribunes;Accessibilité aux personnes en situation de handicap sensoriel à l'aire de jeu;Accessibilité aux personnes en situation de handicap sensoriel aux cheminements;Accessibilité aux personnes en situation de handicap sensoriel aux sanitaires;Accessibilité aux personnes en situation de handicap sensoriel - signalétique;Accessibilité aux personnes en situation de handicap sensoriel aux tribunes;Accessibilité aux personnes en situation de handicap sensoriel aux vestiaires;Longitude;Latitude;Type de particularité de l'installation (brute);Activités;QPV;QPV à 200 mètres;Catégorie;gen_2024Fin_Labellisation
E004I590090058;I590090058;2025-03-31;CENTRE NAUTIQUE BABYLONE;21590009300018;Rue du Podium;59491;Villeneuve-d'Ascq;59009;Piscine;;"[""Handicap moteur""]";;;2024-04-24;2005-08-24;;200093201;59;Nord;32;Hauts-de-France;Métropole Européenne de Lille;59350;Lille;595;Lille;1;Grands centres urbains;59;Académie de Lille;NC - Commune non classée;DOJO Jeff Martin;Dojo / Salle d'arts martiaux;50.65204, 3.14376;;Commune;;Commune;;false;true;"[""X""]";5;;;2013;A partir de 2005;;;;"[""Gaz"", ""Autre""]";Intérieur;Synthétique (hors gazon);25.5;20.0;4.0;507.0;false;;;2;0;true;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Buvette"", ""Club(s) house"", ""Infirmerie"", ""Local de rangement""]";;Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires;Sanitaires;;;;;;;;;;;;;"[""Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]";false;false;;;;;;Salle de combat;1801;G6D2HNB8SBFD;true;false;true;true;true;true;true;true;true;true;false;false;false;true;false;false;false;3.14376;50.65204;"[""Piscine""]";['Judo / Jujitsu / Taïso']
E004I591220022;I591220022;2025-03-31;Stade Nautique Liberté;21590122400018;boulevard de la liberté;59400;Cambrai;59122;Piscine;;"[""Handicap moteur""]";"[""Bus""]";;2024-04-24;2005-12-15;;200068500;59;Nord;32;Hauts-de-France;CA de Cambrai;59122;Cambrai;592;Cambrai;2;Centres urbains intermédiaires;59;Académie de Lille;NC - Commune non classée;petit bassin;Bassin sportif de natation;50.1723, 3.2267;;Commune;;Commune;;false;true;"[""X""]";2;;;2008;A partir de 2005;;;;"[""Gaz""]";Intérieur;Carrelage;;;;;true;;0;0;0;true;false;;;Cheminements,Douches;;;25.0;6.0;150.0;1.0;1.3;;;;;;;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]";false;false;Mêmes aménagements complémentaires;;;;;Bassin de natation;102;64XH6A4NK3FE;true;true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;3.2267;50.1723;"[""Piscine""]";['Baignade loisirs']
E004I591360007;I591360007;2025-03-31;Duo Le Cateau;20003063300198;14 Avenue Simone Veil;59360;Le Cateau-Cambrésis;59136;Piscine;;;;;2024-09-26;2016-02-24;;200030633;59;Nord;32;Hauts-de-France;CA du Caudrésis et du Catésis;59136;Le Cateau-Cambrésis;592;Cambrai;3;Petites villes;59;Académie de Lille;NC - Commune non classée;Pentagliss;Bassin de réception de toboggan;50.0952654427, 3.53198647499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;Bassin de natation;106;;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;3.53198647499;50.0952654427;"[""Piscine""]";['Baignade loisirs']
E004I591830058;I591830058;2025-03-31;PISCINE PAUL ASSEMAN;20002715900017;1 Place Paul Asseman;59140;Dunkerque;59183;Piscine;;;;Présence d'un bassin Scientifique de 5m*3m avec turbine et moyen d'analyse par caméra qui permet d'analyser la technique et la biomécanique du nageur dans les 4 nages;2024-09-19;2005-12-11;;245900428;59;Nord;32;Hauts-de-France;CU de Dunkerque;59183;Dunkerque;594;Dunkerque;1;Grands centres urbains;59;Académie de Lille;NC - Commune non classée;Dojo;Dojo / Salle d'arts martiaux;51.04771, 2.38574;;Commune;;Commune;;false;;;;;;;1985-1994;2015;A partir de 2005;"[""Vétusté normale"", ""remise à niveau""]";"[""Gaz""]";Intérieur;Synthétique (hors gazon);;;3.0;235.0;true;;0;2;0;true;true;"[""Local de rangement""]";;Accueil,Cheminements;;;;;;;;;;;;;;"[""Clubs sportifs,comités,ligues,fédérations,Autre - association(s) et groupes divers""]";false;false;RAS;;;;;Salle de combat;1801;1QRWDV52174Z;false;false;true;true;false;true;false;true;false;false;false;false;false;false;false;false;false;2.38574;51.04771;"[""Piscine""]";['Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...']
E004I592730013;I592730013;2025-03-31;complexe Maurice Baude et Piscine Municipale;21590273500012;rte de bourbourg jean varlet;59820;Gravelines;59273;Piscine;;"[""Handicap moteur""]";;;2024-01-30;2005-11-02;;245900428;59;Nord;32;Hauts-de-France;CU de Dunkerque;59273;Gravelines;594;Dunkerque;3;Petites villes;59;Académie de Lille;NC - Commune non classée;Piste d'athlétisme;Piste d'athlétisme isolée;50.98631, 2.13884;;Commune;;Commune;;false;false;;;;;;1975-1984;;;;;Découvert;;250.0;4.0;;1000.0;true;;0;2;0;true;true;"[""Bureau(x) Club(s)"", ""Local de rangement""]";;Accueil,Aire de jeu,Cheminements,Douches,Vestiaires;;;;;;;;;;;;;;"[""Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]";false;false;RAS;;;;;Equipement d'athlétisme;1004;;true;false;true;true;true;true;true;true;true;false;false;false;false;false;false;false;false;2.13884;50.98631;"[""Piscine""]";['Course sur piste']
E004I595270004;I595270004;2025-03-31;Complexe Piscine, volley;21590527400019;32 rue Vauban;59350;Saint-André-lez-Lille;59527;Piscine;;;;;2020-01-08;2005-08-24;;200093201;59;Nord;32;Hauts-de-France;Métropole Européenne de Lille;59350;Lille;595;Lille;1;Grands centres urbains;59;Académie de Lille;NC - Commune non classée;PETIT BASSIN;Bassin mixte de natation;50.65892, 3.05097;;Commune;;Commune;;false;true;"[""X""]";4;;;;1965-1974;;;;"[""Gaz""]";Intérieur;Béton;;;;;true;;0;2;0;;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Infirmerie"", ""Local de rangement"", ""Salle(s) de réunion/cours"", ""Autre""]";;;;;12.5;12.5;156.3;0.3;1.3;;;;;;;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]";;false;;;;;;Bassin de natation;101;;false;false;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;3.05097;50.65892;"[""Piscine""]";['Baignade loisirs']
E004I602230013;I602230013;2025-03-31;CENTRE AQUATIQUE DE LA PLAINE D'ESTREES;24600089700024;Avenue Abel Didelet;60190;Estrées-Saint-Denis;60223;Piscine;;"[""Handicap moteur""]";;;2024-09-26;2006-12-07;;246000897;60;Oise;32;Hauts-de-France;CC de la Plaine d'Estrées;60223;Estrées-Saint-Denis;603;Compiègne;5;Bourgs ruraux;60;Académie d'Amiens;NC - Commune non classée;Lagune de jeux;Bassin ludique de natation;49.42945, 2.64326;Communauté de Communes de la Plaine d'Estrées;EPCI;;Etablissement privé commercial;;true;true;"[""X""]";3;;;2006;A partir de 2005;;;;"[""Gaz""]";Intérieur;Carrelage;;;;;true;;0;18;2;;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Infirmerie"", ""Local de rangement""]";"[""Bain(s) de vapeur / hammam"", ""Bain(s) bouillonnant(s)"", ""Sauna""]";Aire de jeu,Vestiaires;;;9.0;3.0;9.0;1.0;1.0;;;;;;http://www.carilis.fr;"[""Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers""]";;false;;;;;;Bassin de natation;103;3Q5B4JEKKNHT;true;false;true;true;true;false;true;false;false;false;false;false;false;false;false;false;false;2.64326;49.42945;"[""Piscine""]";['Baignade loisirs']
E004I602820009;I602820009;2025-03-31;PISCINE AQUALIS;24600076400067;Allée de la piscine Gouvieux;60270;Gouvieux;60282;Piscine;;"[""Handicap moteur""]";"[""Bus""]";;2011-06-16;2005-10-03;;246000764;60;Oise;32;Hauts-de-France;CC de l'Aire Cantilienne;60141;Chantilly;604;Senlis;4;Ceintures urbaines;60;Académie d'Amiens;NC - Commune non classée;Bassin ludique extérieur;Bassin ludique de natation;49.18919, 2.43446;;EPCI;;Etablissement privé commercial;;true;true;"[""X""]";3;;;2004;1995-2004;;;;"[""Gaz""]";Découvert;Carrelage;;;;;true;;0;22;2;true;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Infirmerie"", ""Local de rangement"", ""Autre""]";"[""Bain(s) de vapeur / hammam"", ""Bain(s) bouillonnant(s)"", ""Sauna"", ""Solarium""]";Aire de jeu;;;;;150.0;0.0;1.2;;;;;;http://www.ca-aqualis.fr;"[""Individuel(s),famille(s)""]";false;false;;;;;;Bassin de natation;103;;true;true;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;2.43446;49.18919;"[""Piscine""]";['Baignade loisirs']
E004I606890002;I606890002;2025-03-31;CENTRE DES SPORTS RIMBERLIEU;;1 Allée de la Chebeaude;60150;Villers-sur-Coudun;60689;Complexe sportif,Piscine;;"[""Handicap moteur""]";;Visite de l'enqueteur en 2010, pas d'éléments fournis car la continuité de l'activité du site est remise en question. Fiche à vérifier ulterieurement en cas de reprise ou cessation  d'activité.;2020-12-12;2005-09-29;;246000855;60;Oise;32;Hauts-de-France;CC du Pays des Sources;60636;Thourotte;603;Compiègne;5;Bourgs ruraux;60;Académie d'Amiens;NC - Commune non classée;Bassin de 33m;Bassin sportif de natation;49.488772, 2.81426;CLUB DES SPORTS DE RIMBERLIEU;Association(s);;;;;;;;;;;;;;;;Découvert;;;;;;;;;;;;;;;;;;33.0;12.0;396.0;;;;;;;;;;;;;;;;;Bassin de natation;102;;true;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;2.81426;49.488772;"[""Complexe sportif"", ""Piscine""]";['Baignade loisirs']
E003I590090057;I590090057;2025-03-31;PISCINE DU TRIOLO;21590009300018;RUE DE LA TRADITION;59491;Villeneuve-d'Ascq;59009;Piscine;;"[""Handicap moteur""]";;;2024-04-24;2005-08-24;;200093201;59;Nord;32;Hauts-de-France;Métropole Européenne de Lille;59350;Lille;595;Lille;1;Grands centres urbains;59;Académie de Lille;NC - Commune non classée;SALLE DE MUSCULATION;Salle de musculation/cardiotraining;50.61376, 3.147454;;Commune;;Commune;;false;true;"[""X""]";3;;;;1995-2004;;;;"[""Gaz""]";Intérieur;Béton;7.0;5.0;4.0;35.0;true;;0;4;0;true;true;"[""Réception / Accueil"", ""Bureau(x) Club(s)"", ""Buvette"", ""Infirmerie"", ""Local de rangement"", ""Salle(s) de réunion/cours"", ""Autre""]";"[""Sauna""]";Accueil,Douches,Sanitaires,Vestiaires;Sanitaires;;;;;;;;;;;;;"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations""]";false;false;;;;;;Equipement d'activités de forme et de santé;802;ENSYV8BKBK35;true;false;true;true;true;true;false;false;true;true;false;false;false;true;false;false;false;3.147454;50.61376;"[""Piscine""]";['Musculation']
